Process A [NEW] (arrival time 102 ms) 85 CPU bursts
0.[A1]CPUBurst: 1031ms
113.[F57]IOBurst: 22880ms
114.[F58]CPUBurst: 800ms
115.[F58]IOBurst: 4200ms
116.[F59]CPUBurst: 248ms
117.[F59]IOBurst: 7230ms
118.[F60]CPUBurst: 674ms
119.[F60]IOBurst: 12580ms
120.[F61]CPUBurst: 2126ms
121.[F61]IOBurst: 15570ms
122.[F62]CPUBurst: 1788ms
123.[F62]IOBurst: 13330ms
124.[F63]CPUBurst: 519ms
125.[F63]IOBurst: 15140ms
126.[F64]CPUBurst: 337ms
127.[F64]IOBurst: 10290ms
128.[F65]CPUBurst: 3209ms
129.[F65]IOBurst: 2450ms
130.[F66]CPUBurst: 939ms
131.[F66]IOBurst: 100ms
132.[F67]CPUBurst: 1083ms
133.[F67]IOBurst: 28880ms
134.[F68]CPUBurst: 1215ms
135.[F68]IOBurst: 17260ms
136.[F69]CPUBurst: 847ms
137.[F69]IOBurst: 2540ms
138.[F70]CPUBurst: 1028ms
139.[F70]IOBurst: 8220ms
140.[F71]CPUBurst: 1431ms
141.[F71]IOBurst: 10120ms
142.[F72]CPUBurst: 353ms
143.[F72]IOBurst: 30ms
144.[F73]CPUBurst: 625ms
145.[F73]IOBurst: 5820ms
146.[F74]CPUBurst: 1555ms
147.[F74]IOBurst: 3710ms
148.[F75]CPUBurst: 917ms
149.[F75]IOBurst: 11740ms
150.[F76]CPUBurst: 992ms
151.[F76]IOBurst: 2740ms
152.[F77]CPUBurst: 185ms
153.[F77]IOBurst: 6040ms
154.[F78]CPUBurst: 271ms
155.[F78]IOBurst: 370ms
156.[F79]CPUBurst: 4ms
157.[F79]IOBurst: 11950ms
158.[F80]CPUBurst: 2344ms
159.[F80]IOBurst: 27000ms
160.[F81]CPUBurst: 887ms
161.[F81]IOBurst: 4100ms
162.[F82]CPUBurst: 1644ms
163.[F82]IOBurst: 5640ms
164.[F83]CPUBurst: 175ms
165.[F83]IOBurst: 160ms
166.[F84]CPUBurst: 1231ms
167.[F84]IOBurst: 4580ms
168.[F85]CPUBurst: 390ms
169.[F85]IOBurst: 5180ms
170.[F86]CPUBurst: 827ms
171.[F86]IOBurst: 8360ms
172.[F87]CPUBurst: 81ms
173.[F87]IOBurst: 2330ms
174.[F88]CPUBurst: 1263ms
175.[F88]IOBurst: 26880ms
176.[F89]CPUBurst: 956ms
177.[F89]IOBurst: 2820ms
178.[F90]CPUBurst: 252ms
179.[F90]IOBurst: 8490ms
180.[F91]CPUBurst: 990ms
181.[F91]IOBurst: 11060ms
182.[F92]CPUBurst: 422ms
183.[F92]IOBurst: 28240ms
184.[F93]CPUBurst: 255ms
185.[F93]IOBurst: 6750ms
186.[F94]CPUBurst: 774ms
187.[F94]IOBurst: 6320ms
188.[F95]CPUBurst: 182ms
189.[F95]IOBurst: 25040ms
190.[F96]CPUBurst: 393ms
191.[F96]IOBurst: 3980ms
192.[F97]CPUBurst: 1146ms

Process G [NEW] (arrival time 669 ms) 1 CPU bursts
0.[G1]CPUBurst: 543ms

Process H [NEW] (arrival time 376 ms) 49 CPU bursts
0.[H1]CPUBurst: 340ms
1.[H1]IOBurst: 6160ms
2.[H2]CPUBurst: 264ms
3.[H2]IOBurst: 1370ms
4.[H3]CPUBurst: 1555ms
5.[H3]IOBurst: 4640ms
6.[H4]CPUBurst: 2705ms
7.[H4]IOBurst: 4010ms
8.[H5]CPUBurst: 1716ms
9.[H5]IOBurst: 4450ms
10.[H6]CPUBurst: 615ms
11.[H6]IOBurst: 1750ms
12.[H7]CPUBurst: 828ms
13.[H7]IOBurst: 18390ms
14.[H8]CPUBurst: 863ms
15.[H8]IOBurst: 6670ms
16.[H9]CPUBurst: 64ms
17.[H9]IOBurst: 6990ms
18.[H10]CPUBurst: 1329ms
19.[H10]IOBurst: 4410ms
20.[H11]CPUBurst: 2061ms
21.[H11]IOBurst: 3410ms
22.[H12]CPUBurst: 1088ms
23.[H12]IOBurst: 270ms
24.[H13]CPUBurst: 92ms
25.[H13]IOBurst: 13800ms
26.[H14]CPUBurst: 769ms
27.[H14]IOBurst: 9920ms
28.[H15]CPUBurst: 2270ms
29.[H15]IOBurst: 4880ms
30.[H16]CPUBurst: 2381ms
31.[H16]IOBurst: 14800ms
32.[H17]CPUBurst: 49ms
33.[H17]IOBurst: 3420ms
34.[H18]CPUBurst: 1969ms
35.[H18]IOBurst: 16800ms
36.[H19]CPUBurst: 622ms
37.[H19]IOBurst: 10000ms
38.[H20]CPUBurst: 2420ms
39.[H20]IOBurst: 4490ms
40.[H21]CPUBurst: 1623ms
41.[H21]IOBurst: 3570ms
42.[H22]CPUBurst: 202ms
43.[H22]IOBurst: 9610ms
44.[H23]CPUBurst: 244ms
45.[H23]IOBurst: 13010ms
46.[H24]CPUBurst: 45ms
47.[H24]IOBurst: 23950ms
48.[H25]CPUBurst: 1078ms
49.[H25]IOBurst: 12480ms
50.[H26]CPUBurst: 1191ms
51.[H26]IOBurst: 18130ms
52.[H27]CPUBurst: 118ms
53.[H27]IOBurst: 1000ms
54.[H28]CPUBurst: 182ms
55.[H28]IOBurst: 3940ms
56.[H29]CPUBurst: 1827ms
57.[H29]IOBurst: 5460ms
58.[H30]CPUBurst: 2ms
59.[H30]IOBurst: 12930ms
60.[H31]CPUBurst: 398ms
61.[H31]IOBurst: 9090ms
62.[H32]CPUBurst: 1096ms
63.[H32]IOBurst: 31030ms
64.[H33]CPUBurst: 286ms
65.[H33]IOBurst: 1390ms
66.[H34]CPUBurst: 1908ms
67.[H34]IOBurst: 19600ms
68.[H35]CPUBurst: 3276ms
69.[H35]IOBurst: 2540ms
70.[H36]CPUBurst: 1008ms
71.[H36]IOBurst: 190ms
72.[H37]CPUBurst: 3004ms
73.[H37]IOBurst: 1880ms
74.[H38]CPUBurst: 1207ms
75.[H38]IOBurst: 10900ms
76.[H39]CPUBurst: 424ms
77.[H39]IOBurst: 3550ms
78.[H40]CPUBurst: 1359ms
79.[H40]IOBurst: 2690ms
80.[H41]CPUBurst: 1357ms
81.[H41]IOBurst: 580ms
82.[H42]CPUBurst: 144ms
83.[H42]IOBurst: 820ms
84.[H43]CPUBurst: 2541ms
85.[H43]IOBurst: 8550ms
86.[H44]CPUBurst: 6ms
87.[H44]IOBurst: 6150ms
88.[H45]CPUBurst: 44ms
89.[H45]IOBurst: 5760ms
90.[H46]CPUBurst: 30ms
91.[H46]IOBurst: 2480ms
92.[H47]CPUBurst: 1685ms
93.[H47]IOBurst: 2740ms
94.[H48]CPUBurst: 401ms
95.[H48]IOBurst: 3030ms
96.[H49]CPUBurst: 1387ms

Debug: done
